2024-12-12 03:36:26,PRO_BAR_VOLL_3D_flights
2024-12-12 03:36:26,20240521 PRO_BAR_VOLL M3M 20m 3D 80 85,3.673214294947684
2024-12-12 03:36:26,20240527 PRO_BAR_VOLL M3M 20m 3D 80 85,3.031853615306318
2024-12-12 03:36:26,20240531 PRO_BAR_VOLL M3M 20m 3D 80 85,3.203677481971681
2024-12-12 03:36:26,20240607 PRO_BAR_VOLL M3M 20m 3D 80 85,2.856114591471851
2024-12-12 03:36:26,20240612 PRO_BAR_VOLL M3M 20m 3D 80 85,3.100039674900472
2024-12-12 03:36:26,20240619 PRO_BAR_VOLL M3M 20m 3D 80 85,3.7266376866027713
2024-12-12 03:36:26,20240624 PRO_BAR_VOLL M3M 20m 3D 80 85,2.963580312207341
2024-12-12 03:36:26,20240701 PRO_BAR_VOLL M3M 20m 3D 80 85,2.7825611531734467
2024-12-12 03:36:26,20240709 PRO_BAR_VOLL M3M 20m 3D 80 85,2.8101540515199304
2024-12-12 03:36:26,20240716 PRO_BAR_VOLL M3M 20m 3D 80 85,3.149027387611568
2024-12-12 03:36:26,20240723 PRO_BAR_VOLL M3M 20m 3D 80 85,3.216010745614767
2024-12-12 03:36:26,20240730 PRO_BAR_VOLL M3M 20m 3D 80 85,3.0836938051506877
2024-12-12 03:36:26,20240806 PRO_BAR_VOLL M3M 20m 3D 80 85,3.264114947989583
2024-12-12 03:36:26,20240812 PRO_BAR_VOLL M3M 20m 3D 80 85,3.5486296294257045
2024-12-12 03:54:22,PRO_BAR_VOLL_MS_flights
2024-12-12 03:54:22,20240531 PRO_BAR_VOLL M3M 30m MS 80 85,11.37367710005492
2024-12-12 03:54:22,20240607 PRO_BAR_VOLL M3M 30m MS 80 85,5.437645694240928
2024-12-12 03:54:22,20240611 PRO_BAR_VOLL M3M 30m MS 80 85,6.960907430388033
2024-12-12 03:54:22,20240612 PRO_BAR_VOLL M3M 20m MS 80 85,11.262023500166833
2024-12-12 03:54:22,20240620 PRO_BAR_VOLL M3M 30m MS 80 85,5.549174228683114
2024-12-12 03:54:22,20240621 PRO_BAR_VOLL M3M 30m MS 80 85,5.547916698269546
2024-12-12 03:54:22,20240624 PRO_BAR_VOLL M3M 30m MS 80 85,5.602302135899663
2024-12-12 03:54:22,20240703 PRO_BAR_VOLL M3M 20m MS 80 85,11.269050683826208
2024-12-12 03:54:22,20240703 PRO_BAR_VOLL M3M 30m MS 80 85,0.0
2024-12-12 03:54:22,20240708 PRO_BAR_VOLL M3M 20m MS 80 85,11.186479330062866
2024-12-12 03:54:22,20240718 PRO_BAR_VOLL M3M 30m MS 80 85,5.09780965000391
2024-12-12 03:54:22,20240730 PRO_BAR_VOLL M3M 30m MS 80 85,4.962005349807441
2024-12-12 03:54:22,20240806 PRO_BAR_VOLL M3M 30m MS 80 85,5.044070317409933
2024-12-12 03:54:22,20240812 PRO_BAR_VOLL M3M 30m MS 80 85,5.07982277777046
2024-12-12 04:15:54,DIVERSITY_OATS_3D_flights
2024-12-12 04:15:54,20240528 DIVERSITY_OATS M3M 20m 3D 80 85,7.584727931767702
2024-12-12 04:15:54,20240603 DIVERSITY_OATS M3M 20m 3D 80 85,6.685703164897859
2024-12-12 04:15:54,20240610 DIVERSITY_OATS M3M 20m 3D 80 85,7.623161546885967
2024-12-12 04:15:54,20240617 DIVERSITY_OATS M3M 20m 3D 80 85,7.060823640786111
2024-12-12 04:15:54,20240624 DIVERSITY_OATS M3M 20m 3D 80 85,7.758456711657345
2024-12-12 04:15:54,20240702 DIVERSITY_OATS M3M 20m 3D 80 85,7.845497645437717
2024-12-12 04:15:54,20240709 DIVERSITY_OATS M3M 20m 3D 80 85,7.774332779459655
2024-12-12 04:15:54,20240716 DIVERSITY_OATS M3M 20m 3D 80 85,8.82911533396691
2024-12-12 04:15:54,20240723 DIVERSITY_OATS M3M 20m 3D 80 85,9.1859712889418
2024-12-12 04:15:54,20240730 DIVERSITY_OATS M3M 20m 3D 80 85,9.379998784512281
2024-12-12 04:15:54,20240805 DIVERSITY_OATS M3M 20m 3D 80 85,9.330537484027445
2024-12-12 04:15:54,20240813 DIVERSITY_OATS M3M 20m 3D 80 85,9.487958182580769
2024-12-12 04:15:54,20240820 DIVERSITY_OATS M3M 20m 3D 80 85,9.088261156342924
2024-12-12 04:48:32,DIVERSITY_OATS_MS_flights
2024-12-12 04:48:32,20240603 DIVERSITY_OATS M3M 30m MS 80 85,14.853005214594305
2024-12-12 04:48:32,20240607 DIVERSITY_OATS M3M 30m MS 80 85,14.706892484799027
2024-12-12 04:48:32,20240611 DIVERSITY_OATS M3M 30m MS 80 85,14.783592192456126
2024-12-12 04:48:32,20240619 DIVERSITY_OATS M3M 30m MS 80 85,14.575229928828776
2024-12-12 04:48:32,20240624 DIVERSITY_OATS M3M 30m MS 80 85,14.601928191259503
2024-12-12 04:48:32,20240703 DIVERSITY_OATS M3M 30m MS 80 85,13.72796853352338
2024-12-12 04:48:32,20240708 DIVERSITY_OATS M3M 30m MS 80 85,13.620043920353055
2024-12-12 04:48:32,20240718 DIVERSITY_OATS M3M 30m MS 80 85,13.462193270213902
